fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,type
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,red
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,red
8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,white
5.4,0.255,0.33,1.2,0.051,29,122,0.99048,3.37,0.66,11.3,white
7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,red
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,red
7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,red
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,white
5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,white
6.2,0.38,0.42,2.5,0.038,34,117,0.99132,3.36,0.59,11.6,white
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,red
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,red
7.7,0.38,0.23,10.8,0.03,28,95,0.99164,2.93,0.41,13.6,white
7,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,white
6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,white
9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,red
9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,red
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,red
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,white
7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,white
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,white
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,red
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,red
6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,white
7.3,0.22,0.5,13.7,0.049,56,189,0.9994,3.24,0.66,9,white
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,red
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,red
8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,red
6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,white
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,red
7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,red
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,red
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,red
5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,white
9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,red
6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,white
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,red
5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10,white
9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,white
7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,white
6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7,red
6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,white
9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,red
11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,red
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,red
6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,white
7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,red
7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,red
8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,red
11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,red
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,red
5.9,0.33,0.32,8.1,0.038,9,34,0.9911,3.22,0.36,12.7,white
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,red
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,white
7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,red
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,red
6.3,0.2,0.26,4.7,0.04,108,168,0.99278,3.07,0.75,10.7,white
6,0.3,0.33,2.1,0.042,31,127,0.98964,3.32,0.42,12.5,white
7.3,0.3,0.42,7.35,0.025,51,175,0.9928,3.04,0.32,11.4,white
6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,white
8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,red
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,red
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,white
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,white
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,red
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,red
6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8,white
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,white
7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,white
8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,red
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,white
6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,white
6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,white
6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,white
6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,white
6.4,0.28,0.22,12.8,0.039,51,150,0.99535,3.23,0.43,10.7,white
8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,red
7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2,white
6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.1333333333333,white
7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,white
5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,white
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,red
